gene,logFC_non_primary_minus_primary,effect_size,pgnn_score,combined_score
GK5,2.3041524902818624,2.3041524902818624,0.0025272605,0.0058231934695311275
INPPL1,2.8881113497453708,2.8881113497453708,0.0019685512,0.005685395046799023
ME2,2.630507753942076,2.630507753942076,0.0021475807,0.0056492277619488605
SLC29A1,-0.8110930849943853,0.8110930849943853,0.0068645766,0.005567810612073326
NR1H3,-0.21036725296252626,0.21036725296252626,0.026196053,0.005510791761004217
ENOPH1,1.2031089298801976,1.2031089298801976,0.004508733,0.005424496715860405
FASTKD3,-2.5059613856137988,2.5059613856137988,0.0021640277,0.0054229697374086104
FITM2,0.64404290605896,0.64404290605896,0.0083789425,0.0053963984755168466
KDM5B,3.402422274552591,3.402422274552591,0.0015838706,0.005388996666410556
MECR,-2.3725505390680715,2.3725505390680715,0.002266907,0.005378351188398342
DLST,2.0601708225174415,2.0601708225174415,0.00252054,0.005192743028180033
MIA3,-1.8703285414804465,1.8703285414804465,0.0027493269,0.005142144518014689
CTSA,2.482828283784152,2.482828283784152,0.0020062977,0.004981292670892369
GPX3,-1.4516310191054378,1.4516310191054378,0.0034287297,0.004977250412873473
FGL1,-3.3164033124297685,3.3164033124297685,0.0014590876,0.0048389229312340255
OSCP1,-2.204722256603812,2.204722256603812,0.0021464666,0.004732362763611499
GPCPD1,1.2872939232613263,1.2872939232613263,0.0036290004,0.004671590151891443
GIPC1,2.048167233063353,2.048167233063353,0.0022687945,0.0046468704681676045
GFI1,1.0868848412096859,1.0868848412096859,0.0042114137,0.004577321682395231
MVK,1.4623221119161587,1.4623221119161587,0.0030399996,0.004445458682331628
HILPDA,-2.1530644243282,2.1530644243282,0.002062842,0.004441431759897512
GUSB,-1.3832247645023834,1.3832247645023834,0.0031979897,0.004423538493482343
SLC66A2,-2.389901259309836,2.389901259309836,0.0017817774,0.004258271962064209
PPP2CA,1.4193866256270036,1.4193866256270036,0.0029214276,0.004146635263299287
GGPS1,1.985189952254099,1.985189952254099,0.0020760482,0.0041213499697579205
RABL3,-1.1635897305008647,1.1635897305008647,0.003395904,0.003951439123019825
MTOR,-1.0455808277871927,1.0455808277871927,0.0036586623,0.003825427174337991
VLDLR,-0.9526000426811034,0.9526000426811034,0.003941879,0.0037550342389851368
MFSD12,-1.6489959114341972,1.6489959114341972,0.0022653695,0.0037355850756937573
CKMT1B,3.089908633613878,3.089908633613878,0.0012005406,0.0037095606825552304
MPV17L,-2.568571025620279,2.568571025620279,0.0014332962,0.0036815232073801863
GYS1,3.0111329495879593,3.0111329495879593,0.0012175685,0.003666260707153803
MBOAT2,1.2608169491630175,1.2608169491630175,0.0029053013,0.0036630531013489903
HDAC6,-2.11590160790293,2.11590160790293,0.0017254184,0.003650815517641691
